City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Lovington,US,32.944,-103.3485,81.45,20,74,3.0,broken clouds
337,Cabedelo,BR,-6.9811,-34.8339,83.07,75,98,12.17,overcast clouds
338,Cobija,BO,-11.0267,-68.7692,72.39,96,100,2.17,light rain
339,Saint-Pierre,RE,-21.3393,55.4781,76.68,83,75,16.11,light rain
340,Mercedes,AR,-34.6515,-59.4307,100.85,22,0,7.58,clear sky
341,Tuxpan,MX,19.55,-103.4,73.17,32,7,9.15,clear sky
342,Zelenogorskiy,RU,55.0333,87.0,33.03,99,100,13.11,snow
343,Harsin,IR,34.2721,47.5861,43.61,52,2,2.73,clear sky
344,Bereda,ES,43.2686,-7.5406,57.15,100,100,7.0,overcast clouds
345,Kristiinankaupunki,FI,62.2743,21.376,12.09,95,100,3.56,overcast clouds
346,Luena,AO,-11.7833,19.9167,63.48,90,100,2.84,overcast clouds
